customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,tenure_group,avg_monthly_usage,payment_risk,customer_value_segment,total_services
7833-PKIHD,Palm Desert,92260,33.694501,-116.412711,Male,No,Yes,No,51,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.4,3966.3,No,0,52,6385,4+ Years,77.77058823529413,Low Risk,Platinum,6
7061-OVMIM,Palm Springs,92262,33.839989,-116.659215,Female,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,608.5,No,0,50,5203,2-4 Years,20.283333333333335,Low Risk,Gold,1
5153-RTHKF,Palm Springs,92264,33.745746,-116.514215,Female,No,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.35,2896.6,No,0,78,3818,2-4 Years,85.19411764705882,High Risk,Silver,4
1852-QSWCD,Palo Verde,92266,33.3249,-114.758334,Male,No,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.8,1514.85,No,0,55,6281,4+ Years,23.66953125,Medium Risk,Platinum,2
4832-VRBMR,Parker Dam,92267,34.273872,-114.192901,Male,Yes,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,No,0,51,6441,4+ Years,104.49923076923076,Low Risk,Platinum,7
9079-LWTFD,Pioneertown,92268,34.201108,-116.593456,Male,No,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.75,4669.2,No,0,27,2508,2-4 Years,99.34468085106383,Medium Risk,Bronze,7
3392-EHMNK,Thermal,92274,33.53604,-116.119222,Female,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),94.1,6302.8,No,0,58,4803,4+ Years,94.07164179104478,Low Risk,Gold,6
5986-WWXDV,Salton City,92275,33.28156,-115.955541,Male,No,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.35,779.2,No,0,68,2607,2-4 Years,19.97948717948718,Low Risk,Bronze,1
3061-BCKYI,Thousand Palms,92276,33.849263,-116.382778,Male,No,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,283.75,No,0,34,3854,1-2 Years,20.267857142857142,Medium Risk,Silver,1
7901-TBKJX,Twentynine Palms,92278,34.457829,-116.139589,Male,Yes,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,No,0,65,5514,4+ Years,99.89285714285714,High Risk,Platinum,6
7228-PAQPD,Vidal,92280,34.264124,-114.717964,Female,No,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,No,0,58,5718,1-2 Years,55.20357142857143,Low Risk,Platinum,4
7746-QYVCO,White Water,92282,33.972293,-116.654195,Male,No,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,55.85,857.8,No,0,55,2464,1-2 Years,53.6125,Medium Risk,Bronze,4
5804-HYIEZ,Winterhaven,92283,32.852947,-114.850784,Male,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,No,0,30,4583,4+ Years,107.915,High Risk,Gold,7
9919-FZDED,Yucca Valley,92284,34.159534,-116.425984,Male,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,No,0,63,4671,4+ Years,83.07847222222222,Low Risk,Gold,8
5934-TSSAU,Landers,92285,34.341737,-116.539416,Female,No,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,No,0,49,5903,1-2 Years,74.0391304347826,Low Risk,Platinum,3
3486-KHMLI,Adelanto,92301,34.667815,-117.536183,Male,No,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.7,467.15,No,0,54,5403,1-2 Years,22.245238095238093,Medium Risk,Platinum,2
6784-XYJAE,Fort Irwin,92310,35.349241,-116.770281,Female,No,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,No,0,25,4770,2-4 Years,53.93055555555556,High Risk,Gold,4
3933-DQPWX,Barstow,92311,34.965648,-117.001509,Female,No,No,No,50,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.7,1932.75,No,0,49,5174,4+ Years,38.655,Low Risk,Gold,4
6661-EIPZC,Grand Terrace,92313,34.029175,-117.307211,Female,No,Yes,Yes,48,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,No,0,36,3194,2-4 Years,29.646874999999998,Low Risk,Bronze,2
8957-THMOA,Big Bear City,92314,34.278967,-116.773825,Female,No,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.15,970.85,No,0,27,4263,4+ Years,19.417,Low Risk,Silver,1
2251-PYLPB,Big Bear Lake,92315,34.242058,-116.89802,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),79.55,5810.9,No,0,55,4766,4+ Years,80.70694444444445,Low Risk,Gold,8
5555-RNPGT,Bloomington,92316,34.059722,-117.39104,Male,No,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.8,223.9,No,0,36,5212,0-1 Year,22.39,Low Risk,Gold,2
1057-FOGLZ,Calimesa,92320,33.982787,-117.057627,Female,No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,391.7,No,0,20,4333,1-2 Years,21.76111111111111,Medium Risk,Silver,1
8087-LGYHQ,Crestline,92325,34.248061,-117.29028,Male,No,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.05,811.65,No,0,42,3475,0-1 Year,90.18333333333334,High Risk,Silver,5
4137-BTIKL,Daggett,92327,34.875144,-116.821698,Male,No,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.75,174.75,No,0,60,4766,0-1 Year,87.375,Medium Risk,Gold,5
2190-BCXEC,Death Valley,92328,36.27688,-117.033326,Female,No,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,No,0,45,5257,2-4 Years,78.17125,Low Risk,Gold,4
6227-FBDXH,Essex,92332,34.9436,-115.287901,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),99.5,6841.45,No,0,56,4237,4+ Years,99.15144927536231,Low Risk,Silver,6
2911-WDXMV,Fontana,92335,34.087558,-117.464096,Male,No,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1406.65,No,0,37,5334,1-2 Years,78.14722222222223,Low Risk,Gold,4
7206-PQBBZ,Fontana,92336,34.136367,-117.460803,Male,Yes,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,834.7,No,0,29,2848,0-1 Year,75.88181818181819,High Risk,Bronze,2
4547-FZJWE,Forest Falls,92339,34.067699,-116.903891,Male,No,Yes,No,55,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),59.45,3157.0,No,0,77,5712,4+ Years,57.4,Low Risk,Platinum,4
7422-WNBTY,Green Valley Lake,92341,34.244411,-117.072654,Male,No,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.35,3092.0,No,0,40,3348,2-4 Years,93.6969696969697,High Risk,Bronze,6
0842-IWYCP,Helendale,92342,34.757783,-117.33997,Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,No,0,44,2626,2-4 Years,47.15,Low Risk,Bronze,2
3521-HTQTV,Hesperia,92345,34.361387,-117.337509,Male,No,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.1,980.35,No,0,46,2026,2-4 Years,28.833823529411767,Low Risk,Bronze,2
3744-ZBHON,Highland,92346,34.129677,-117.154277,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.2,65.95,No,0,24,4369,0-1 Year,21.983333333333334,High Risk,Silver,1
3373-DIUUN,Hinkley,92347,34.983808,-117.239306,Male,No,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.25,711.9,No,0,70,3047,2-4 Years,23.73,Medium Risk,Bronze,1
8383-SGHJU,Lake Arrowhead,92352,34.2565,-117.19335,Female,No,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,No,0,38,2853,2-4 Years,59.17575757575757,High Risk,Bronze,5
7607-QKKTJ,Loma Linda,92354,34.049315,-117.255974,Male,No,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),95.0,4368.85,No,0,27,2719,2-4 Years,97.08555555555556,Low Risk,Bronze,6
7707-PYBBH,Lucerne Valley,92356,34.508417,-116.856103,Male,No,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2647.1,No,0,52,2520,2-4 Years,66.1775,Medium Risk,Bronze,5
8984-HPEMB,Lytle Creek,92358,34.238162,-117.534306,Female,No,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.65,8477.6,No,0,73,4296,4+ Years,119.40281690140846,High Risk,Silver,9
4139-DETXS,Needles,92363,34.711224,-114.702256,Female,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.45,4528.0,No,0,45,5265,4+ Years,62.888888888888886,Low Risk,Gold,7
9779-DPNEJ,Nipton,92364,35.478736,-115.516984,Female,No,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,No,0,42,4732,1-2 Years,81.39318181818182,High Risk,Gold,3
9805-FILKB,Newberry Springs,92365,34.89326,-116.505958,Male,No,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,845.6,No,0,68,2325,2-4 Years,18.382608695652173,Low Risk,Bronze,1
5793-YOLJN,Oro Grande,92368,34.647959,-117.296957,Female,No,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.0,1210.3,No,0,24,5046,4+ Years,22.005454545454544,Medium Risk,Gold,1
0673-IGUQO,Phelan,92371,34.441123,-117.537886,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,No,0,38,4845,0-1 Year,20.45,Medium Risk,Gold,1
4123-FCVCB,Pinon Hills,92372,34.459322,-117.629729,Female,No,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,75.85,854.45,No,0,70,5942,0-1 Year,71.20416666666667,Medium Risk,Platinum,6
8819-IMISP,Redlands,92373,34.003243,-117.138286,Male,No,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.45,2429.1,No,0,49,4684,2-4 Years,78.35806451612903,High Risk,Gold,4
8311-UEUAB,Rialto,92376,34.109775,-117.378904,Female,No,Yes,No,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.5,5229.45,No,0,69,5420,4+ Years,78.05149253731344,High Risk,Platinum,6
5858-EAFCZ,Rialto,92377,34.156758,-117.404686,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45,No,0,74,3498,0-1 Year,44.45,Medium Risk,Silver,2
1163-ONYEY,Shoshone,92384,35.924252,-116.188668,Male,No,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,No,0,61,2748,2-4 Years,73.74512195121952,Low Risk,Bronze,7
5656-MJEFC,Victorville,92392,34.486835,-117.362274,Male,No,Yes,No,42,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.15,2032.3,No,0,25,2673,2-4 Years,48.38809523809524,Low Risk,Bronze,5
6082-OQFBA,Victorville,92394,34.567058,-117.362329,Male,No,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,No,0,70,5460,1-2 Years,18.995652173913044,Medium Risk,Platinum,1
8974-OVACP,Yermo,92398,35.013299,-116.834092,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,No,0,31,3167,0-1 Year,20.15,Medium Risk,Bronze,1
4010-YLMVT,Yucaipa,92399,34.04597,-117.011825,Female,No,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,No,0,80,5056,4+ Years,105.24910714285714,Low Risk,Gold,7
1379-FRVEB,San Bernardino,92401,34.105935,-117.2914,Male,No,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,No,0,48,4602,1-2 Years,95.33666666666666,High Risk,Gold,5
8612-GXIDD,San Bernardino,92404,34.183286,-117.221722,Male,No,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.4,313.0,No,0,71,2219,0-1 Year,26.083333333333332,Low Risk,Bronze,2
6288-CHQJB,San Bernardino,92405,34.142747,-117.300864,Female,No,Yes,No,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,No,0,57,5077,4+ Years,71.70092592592593,Low Risk,Gold,6
8160-HOWOX,San Bernardino,92407,34.250069,-117.393949,Female,No,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,No,0,43,4858,0-1 Year,65.44285714285715,High Risk,Gold,4
6648-INWPS,San Bernardino,92410,34.106922,-117.297553,Male,No,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.15,341.35,No,0,58,5271,1-2 Years,21.334375,High Risk,Gold,1
4223-BKEOR,San Bernardino,92411,34.122501,-117.320138,Female,No,No,No,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,64.85,1336.8,No,0,51,3302,1-2 Years,63.65714285714286,Medium Risk,Bronze,5
4079-VTGLK,Riverside,92501,33.994676,-117.372498,Male,Yes,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,74.85,2181.75,No,0,27,5610,2-4 Years,72.725,High Risk,Platinum,6
1763-WQFUK,Riverside,92503,33.890046,-117.455583,Male,No,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.5,147.75,No,0,43,5258,0-1 Year,49.25,Medium Risk,Gold,3
1391-UBDAR,Riverside,92504,33.9108,-117.398153,Male,No,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,818.45,No,0,71,3042,0-1 Year,74.40454545454546,High Risk,Bronze,3
8894-JVDCV,Riverside,92505,33.920907,-117.489426,Female,No,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),115.05,7133.45,No,0,43,6494,4+ Years,115.05564516129031,Low Risk,Platinum,9
2023-VQFDL,Riverside,92506,33.930931,-117.361788,Male,No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.0,348.8,No,0,39,5379,1-2 Years,19.37777777777778,High Risk,Gold,1
1345-GKDZZ,Riverside,92507,33.976328,-117.319786,Male,No,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,128.6,No,0,69,2309,0-1 Year,21.433333333333334,Medium Risk,Bronze,1
2014-MKGMH,Riverside,92508,33.885499,-117.324959,Female,No,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.1,4674.4,No,0,54,4883,2-4 Years,101.61739130434782,High Risk,Gold,6
5628-FCGYG,Riverside,92509,34.004379,-117.447864,Male,No,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.1,1737.45,No,0,69,4649,1-2 Years,82.7357142857143,High Risk,Gold,4
2560-WBWXF,March Air Reserve Base,92518,33.888323,-117.277533,Male,No,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.15,1498.85,No,0,70,5987,4+ Years,22.04191176470588,Low Risk,Platinum,2
0248-IPDFW,Lake Elsinore,92530,33.655421,-117.391751,Female,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,50.1,No,0,57,5617,0-1 Year,50.1,High Risk,Platinum,3
7978-DKUQH,Lake Elsinore,92532,33.705836,-117.318204,Female,No,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.6,1797.75,No,0,35,4591,2-4 Years,71.91,High Risk,Gold,3
4335-UPJSI,Aguanga,92536,33.482243,-116.827173,Female,No,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,498.1,No,0,43,2639,1-2 Years,20.754166666666666,Medium Risk,Bronze,1
1784-EZDKJ,Hemet,92544,33.644585,-116.871544,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.8,5498.8,No,0,33,4640,4+ Years,107.81960784313726,Low Risk,Gold,7
9297-FVVDH,Hemet,92545,33.734933,-117.044145,Female,No,Yes,No,57,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.5,4845.4,No,0,41,5928,4+ Years,85.00701754385965,High Risk,Platinum,8
8007-YYPWD,Homeland,92548,33.761894,-117.120868,Female,No,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.05,369.1,No,0,43,5218,1-2 Years,24.60666666666667,Low Risk,Gold,2
7101-HRBLJ,Idyllwild,92549,33.755039,-116.741796,Female,No,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.7,6096.9,No,0,36,4592,4+ Years,84.67916666666666,Low Risk,Gold,8
6635-CPNUN,Moreno Valley,92553,33.923149,-117.244933,Male,No,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),96.6,2684.35,No,0,43,5530,2-4 Years,95.86964285714285,Low Risk,Platinum,6
5453-YBTWV,Moreno Valley,92557,33.970661,-117.255039,Male,No,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),101.1,6994.8,No,0,62,4226,4+ Years,99.92571428571429,Low Risk,Silver,7
5039-LZRQT,Mountain Center,92561,33.638645,-116.55783,Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,273.25,No,0,34,2953,1-2 Years,21.01923076923077,Medium Risk,Bronze,1
2931-VUVJN,Murrieta,92562,33.548869,-117.334165,Female,Yes,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,94.05,5483.9,No,0,30,5061,4+ Years,92.94745762711864,High Risk,Gold,7
6418-PIQSP,Perris,92570,33.787298,-117.320676,Female,No,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.0,4985.9,No,0,31,4684,4+ Years,80.41774193548386,Medium Risk,Gold,7
8220-OCUFY,Perris,92571,33.828289,-117.201666,Female,No,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,60.25,1258.35,No,0,25,4870,1-2 Years,59.921428571428564,High Risk,Gold,5
3995-WFCSM,San Jacinto,92582,33.806708,-117.02007,Female,No,No,No,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,60.85,111.4,No,0,54,3796,0-1 Year,55.7,High Risk,Silver,4
1895-QTKDO,San Jacinto,92583,33.796568,-116.924723,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),43.95,43.95,No,0,20,5684,0-1 Year,43.95,Low Risk,Platinum,2
2038-OEQZH,Menifee,92584,33.653338,-117.178271,Male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,86.05,308.1,No,0,55,3653,0-1 Year,77.025,High Risk,Silver,4
1178-PZGAB,Sun City,92585,33.739412,-117.173334,Female,No,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.25,383.65,No,0,78,5586,1-2 Years,20.192105263157895,Low Risk,Platinum,1
2626-VEEWG,Sun City,92587,33.69887,-117.25071,Male,No,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,No,0,70,4890,4+ Years,19.16716417910448,Low Risk,Gold,1
2878-RMWXY,Temecula,92590,33.475493,-117.219551,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),102.65,7550.3,No,0,66,4680,4+ Years,104.86527777777778,Low Risk,Gold,7
1657-DYMBM,Temecula,92591,33.540604,-117.10909,Male,No,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,1110.05,No,0,61,4157,4+ Years,20.944339622641508,Low Risk,Silver,1
7311-MQJCH,Temecula,92592,33.507255,-117.029473,Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.55,99.6,No,0,47,2575,0-1 Year,19.919999999999998,High Risk,Bronze,1
7375-WMVMT,Wildomar,92595,33.617108,-117.253349,Male,Yes,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),95.5,6707.15,No,0,80,6412,4+ Years,94.4669014084507,Low Risk,Platinum,6
1136-XGEQU,Winchester,92596,33.657433,-117.04254,Female,No,Yes,No,50,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),84.15,4164.4,No,0,43,4625,4+ Years,83.288,Low Risk,Gold,8
2530-FMFXO,Irvine,92602,33.720359,-117.733655,Male,No,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,103.2,5873.75,No,0,55,4478,4+ Years,104.88839285714286,High Risk,Silver,7
6844-DZKRF,Irvine,92604,33.688546,-117.788091,Male,No,No,No,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),50.2,109.25,No,0,59,4697,0-1 Year,54.625,Low Risk,Gold,3
5970-GHJAW,Irvine,92612,33.643095,-117.810896,Male,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,862.4,No,0,75,3574,2-4 Years,18.747826086956522,Low Risk,Silver,1
8879-XUAHX,Irvine,92614,33.680302,-117.833296,Male,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.25,8564.75,No,0,47,6124,4+ Years,120.63028169014085,High Risk,Platinum,9
3689-MOZGR,Irvine,92618,33.667145,-117.732135,Female,No,No,No,29,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,31.2,926.2,No,0,39,4761,2-4 Years,31.93793103448276,High Risk,Gold,2
4195-PNGZS,Irvine,92620,33.716136,-117.752574,Male,No,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1718.2,No,0,39,5295,4+ Years,24.90144927536232,Low Risk,Gold,2
5003-XZWWO,Capistrano Beach,92624,33.458754,-117.665104,Male,No,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.2,5956.85,No,0,33,4753,4+ Years,83.8992957746479,Low Risk,Gold,8
7622-FWGEW,Costa Mesa,92626,33.678591,-117.905471,Male,Yes,Yes,No,56,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.65,4824.45,No,0,70,6500,4+ Years,86.15089285714285,Low Risk,Platinum,8
6922-NCEDI,Costa Mesa,92627,33.645672,-117.922613,Male,No,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.2,1238.65,No,0,23,6473,4+ Years,22.118750000000002,Medium Risk,Platinum,1
9891-NQDBD,Lake Forest,92630,33.644849,-117.684254,Female,No,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.55,672.2,No,0,39,3493,2-4 Years,24.00714285714286,Medium Risk,Silver,2
6131-IUNXN,Huntington Beach,92646,33.666301,-117.969501,Female,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,382.2,No,0,64,3636,1-2 Years,20.11578947368421,Medium Risk,Silver,1
